term,positive,negative
ah,0,0
abuden,0,-0.4
alamak,0,-0.65
aiyah,0,-0.6
aiyo,0,-0.4
aiyoh,0,-0.4
atas,0.6,0
bai,0,0
balik,0,0
beng,0,0
bo,0,0
bu,0,0
buaya,0,0
cao,0,-0.3
chao,0,-0.5
chee,0,0
chio,0.4,0
chaota,0,-0.7
dey,0,0
durian,0,0
dua,0,0
eh,0,0
gan,0,0
gao,0,0
gua,0,0
guai,0,0
hor,0,0
hong,0,0
jiak,0.3,0
jiao,0,0
jelak,0,-0.35
jialat,0,-0.6
kan,0,0
kok,0,0
kia,0,0
la,0,0
lan,0,0
lang,0,0
lah,0,0
lai,0,0
le,0,0
leh,0,0
lim,0,0
lian,0,0
lor,0,0
loh,0,0
ma,0,0
mah,0,0
mai,0,0
makan,0,0
meh,0,0
na,0,0
ni,0,0
neh,0,0
pasar,0,0
pao,0,0
piak,0,0
piang,0,0
rabak,0,-1
sai,0,-0.5
sedap,1,0
shiok,1,0
siol,0,0
sia,0.25,0
si,0,-0.7
siao,0,-0.7
sian,0,-0.3
song,0.35,0
sui,0.6,0
swee,0.6,0
tekan,0,-0.2
tico,0,0
tio,0,0
tiong,0,0
walao,0,-0.3
wokhey,0.5,0
yandao,0,0
zao,0,0
zar,0,0
zai,0.3,0
zhao,0,0
zhar,0,0
zhun,0,0
zao,0,0
zng,0,0
zhng,0,0
